1A				
ei dift 1 tavussa?				
part.	njuođåsid			
	njuo´tåsid			
2b				
PÄÄVIR				
v-k-v				
v->pp				
ää->áá				
ää->á				
i->á				
ää->ä				
Nom. 	päävir		pápáreh	äävi->ápá
Gen.	pááppár	äävi->ááppá	pápárij	äävi->ápá
Akk.	pááppár	äävi->ááppá	pápárijd	äävi->ápá
Ill.	pápárân	äävi->ápá	pápáráid	äävi->ápá
Lokat.	pápárist	äävi->ápá	pápárijn	äävi->ápá
Kom. 	pápáráin	äävi->ápá	pápárijguin	äävi->ápá
Abess.	pááppárttáá	äävi->ááppá	pápárijttáá	äävi->ápá
Ess.	pápárin	äävi->ápá		
	pävirin	ää->ä		
part.	pápárid	äävi->ápá		
	pävirid	ää->ä		
				
2b				
KIELÅS				
d-k				
l->ll				
Nom. 	Kielås		kie´låseh	
Gen.	Kiellas	l->ll	kie´låsij	
Akk.	Kiellås	l->ll	kie´låsijd	
Illat.	Kie´låsån		kie´låsáid	
Lokat.	Kie´låsist		kie´låsijn	
Kom.	kie´låsáin		kie´låsijguin	
abess.	kiellåsttáá	l->ll	kiel´låsijttáá	l->ll
ess.	kie´låsin			
	kieĺåsin			
	kiellåsin			
partit.	kie´låsid			
	kielåsid			
	kiellåsid			
				
				
eres				
LYE´ ME				
d-k				
´m->mm				
ye->uá				
e->á				
Nom. 	lye´me		luá´máneh	ye´me->uá´mán
Gen.	luámmán	ye´me->uámmán	luá´mánij	ye´me->uá´mán
Akk.	luámmán	ye´me->uámmán	luá´mánijd	ye´me->uá´mán
Illat.	luá´mánân	ye´me->uá´mán	luá´mánáid	ye´me->uá´mán
Lokat.	luá´mánist	ye´me->uá´mán	luá´mánijn	ye´me->uá´mán
Kom.	luá´mánáin	ye´me->uá´mán	luá´mánijguin	ye´me->uá´mán
abess.	luámmánttáá	ye´me->uámmán	luá´mánijttáá	ye´me->uá´mán
ess.	luá´mánin	ye´me->uá´mán		
	lyemeen			
partit.	luá´mánid	ye´me->uá´mán		
	lyemeed			
SIÄMU				
d-k				
m->mm				
m->´m				
Nom. 	siämu		siä´muneh	m->´m
Gen.	siämmun	m->mm	siä´munij	m->´m
Akk.	siämmun	m->mm	siä´munijd	m->´m
Illat.	siä´munân	m->´m	siä´munáid	m->´m
Lokat.	siä´munist	m->´m	siä´munijn	m->´m
Kom.	siä´munáin	m->´m	siä´munijguin	m->´m
abess.	siämmunttáá	m->mm	siä´munijttáá	m->´m
ess.	siämun			
	siä´munin			
partit.	siämud			
	siä´munid			
VAASKÂ				
v-kk				
aa->a				
m				
Nom. 	vaaskâ		vaskâmeh	aa->a, m
Gen.	vaskâm	aa->a, m	vaskâmij	aa->a, m
Akk.	vaskâm	aa->a, m	vaskâmijd	aa->a, m
Illat.	vaskâmân	aa->a, m	vaskâmáid	aa->a, m
