1045557 
42469 já	já+CC
  92 peeli	peeli+N+Sg+Nom
  92 peeli	peeli+N+Sg+Gen
  92 peeli	peeli+N+Sg+Acc
  92 Wieseh	Wiese+OLang/UNDN+Prop+Sem/Plc+Pl+Nom
  91 Moos	mii+Pron+Interr+Sg+Ill
  90 oohtân	oohtân+Adv
  90 kiäin	kii+Pron+Interr+Sg+Com
  90 Ella	Ella+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
  90 Ella	Ella+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
  90 Ella	Ella+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
  89 tuoi	tuot+Pron+Dem+Pl+Gen
  89 tuoi	tun+Pron+Pers+Du2+Nom
  88 tuot	tuot+Pron+Dem+Sg+Nom
  88 säämi	säämi+N+Sg+Nom
  88 säämi	säämi+N+Sg+Gen
  88 säämi	säämi+N+Sg+Acc
  88 majemustáá	majemustáá+Adv
  88 Vuolli	Vuolli+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
  88 Vuolli	Vuolli+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
  88 Vuolli	Vuolli+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
  88 Tiäđust-uv	tiäđust-uv+Adv
  88 Petter	Petter+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
  88 Kii	kii+Pron+Interr+Sg+Nom
  87 suin	sun+Pron+Pers+Sg3+Com
  87 piärgu	piär'gu+N+Sg+Nom
  87 piärgu	piär'gu+N+Sg+Gen
  87 piärgu	piär'gu+N+Sg+Acc
  87 Puáris	Puáris+N+Prop+Attr
  86 škovlâ	škovlâ+N+Sg+Nom
  86 škovlâ	škovlâ+N+Sg+Gen
  86 škovlâ	škovlâ+N+Sg+Acc
  86 jos	jos+CS
  86 Kaamâsist	Kaamâs+N+Prop+Sg+Loc
  85 Saul	Saul+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  84 Oulu	Oulu+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
  84 Oulu	Oulu+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
  84 Oulu	Oulu+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
  83 ele	ij+V+Neg+Imprt+Sg2
  81 sun-uv	sun+Pron+Pers+Sg3+Nom+Qst
  81 kissá	kissá+N+Sg+Nom
  81 Tälviv	tälviv+Adv
  81 Tággáár	tággáár+Pron+Indef
  80 manen	mii+Pron+Interr+Ess
  80 manen	mane+N+Ess
  80 kielân	kielâ+N+Sg+Ill
  80 kielân	kielâ+N+Ess
  80 harvii	harvii+Adv
  80 Paadar	Paadar+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
  80 Mast	mii+Pron+Interr+Sg+Loc
  79 uásist	uási+N+Sg+Loc
  79 Eino	Eino+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  79 Eino	Eino+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
